CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer_name,from,until,null,PRICE         
1,5201502110050,AGRINO BELLA ΡΥΖΙ ΕΛΛΗΝΙΚΟ 500GR,2.00,4.00,7283604.jpg,0,Ρύζι,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
1,5202336124374,ΑΒ ΡΥΖΙ ΚΑΡΟΛΙΝΑ ΕΛΛΗΝΙΚΟ 1KG,1.79,1.79,7614627.jpg,1,Ρύζι,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
2,5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,0.75,2.21,7347418.jpg,1,Ψωμί για Tοστ,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
3,5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,0.68,1.94,7619515.jpg,0,Ψωμί Φραντζόλα,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
3,5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,0.99,2.83,7293943.jpg,0,Ψωμί Φραντζόλα,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
4,5202336010820,ΑΒ ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ  4/PACK 500GR,1.38,2.76,7123728.jpg,1,Φρυγανιές,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
5,5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ N6 500GR,0.67,1.34,7467309.jpg,0,Μακαρόνια Νο 6,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
6,27362358,2 ΣΠΑΛΑ ΧΟΙΡ. Α/Ο/Δ ΟΛΛ.,5.95,5.95,default_kalathi.png,1,Νωπό Χοιρινό,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
6,27437551,2 ΜΠΟΥΤΙ ΧΟΙΡ. Α/Ο Α/Δ ΟΛΛ. ENA,5.95,5.95,default_kalathi.png,1,Νωπό Χοιρινό,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
7,27025864,AB ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ,2.99,2.99,7603950.jpg,1,Νωπό Κοτόπουλο Ολόκληρο,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
8,29663514,ΓΑΛΟΠΟΥΛΑ ΒΡΑΣΤΗ TOSTAKI,7.65,7.65,7141275.jpg,0,Γαλοπούλα,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
8,29663576,ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ TOSTAKI,7.65,7.65,7141282.jpg,0,Γαλοπούλα,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
8,5202336129676,365 ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ ΦΕΤΕΣ 300G,2.40,8.00,7610915.jpg,1,Γαλοπούλα,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
9,29125692,ΑΒ ΜΠΑΚΑΛΙΑΡΟΣ 300/500Γ Α/Κ ΕΙΣΑΓΩΓΗΣ,4.35,4.35,7072811.jpg,1,Ψάρια Κατεψυγμένα,Kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
10,5202178001116,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠΟΣ  ΠΛΗΡΕΣ 1LT,1.49,1.49,7076755.jpg,0,Γάλα Φρέσκο Πλήρες,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
10,5202336155736,AB ΦΡΕΣΚΟ ΓΑΛΑ ΠΛΗΡΕΣ 1LT,1.00,1.00,default_kalathi.png,1,Γάλα Φρέσκο Πλήρες,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
11,5202178001178,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠ.ΕΛ.1.7% 1L,1.49,1.49,7076872.jpg,0,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
11,5202336155712,AB ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.00,1.00,default_kalathi.png,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
12,5202336127627,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 7.8% ΠΛΗΡΕΣ 170G,0.48,2.82,7579709.jpg,1,Γάλα Εβαπορέ,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
12,5202336127641,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 4% LIGHT 170G,0.48,2.82,7579741.jpg,1,Γάλα Εβαπορέ,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
12,8716200615020,ΝΟΥΝΟΥ ΕΒΑΠΟΡΕ 400GR,1.01,2.53,7133978.jpg,0,Γάλα Εβαπορέ,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
