barcode,name,parent_categ,category_name,category_uuid,price,price_normalized,unit,image,diabetes,merchant_name,merchant_displayname,pl,from,until
5201502110050,AGRINO BELLA ΡΥΖΙ ΕΛΛΗΝΙΚΟ 500GR,Τρόφιμα Παντοπωλείου,Ρύζι,1,2.0,4.0,Kg,7283604.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
5202336124374,ΑΒ ΡΥΖΙ ΚΑΡΟΛΙΝΑ ΕΛΛΗΝΙΚΟ 1KG,Τρόφιμα Παντοπωλείου,Ρύζι,1,1.79,1.79,Kg,7614627.jpg,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
5202336109876,ΑΒ ΨΩΜΙ ΤΟΣΤ ΣΙΚΑΛΗΣ 340ΓΡ,Είδη Αρτοζαχαροπλαστείου,Ψωμί για Tοστ,2,0.75,2.21,Kg,7347418.jpg,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
5204647003683,ΑΡΤΟΠ/ΣΜΑ ΧΩΡΙΑΤΙΚΟ 350ΓΡ ΚΤΨ,Είδη Αρτοζαχαροπλαστείου,Ψωμί Φραντζόλα,3,0.68,1.94,Kg,7619515.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
5214000155980,ΑΡΤΟΣ ΤΟΥ ΧΩΡΙΟΥ 350ΓΡ,Είδη Αρτοζαχαροπλαστείου,Ψωμί Φραντζόλα,3,0.99,2.83,Kg,7293943.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
5202336010820,ΑΒ ΦΡΥΓΑΝΙΑ ΣΙΤΟΥ  4/PACK 500GR,Είδη Αρτοζαχαροπλαστείου,Φρυγανιές,4,1.38,2.76,Kg,7123728.jpg,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
5201013012508,ΜΑΚΒΕΛ ΣΠΑΓΓΕΤΙ N6 500GR,Τρόφιμα Παντοπωλείου,Μακαρόνια Νο 6,5,0.67,1.34,Kg,7467309.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
27362358,2 ΣΠΑΛΑ ΧΟΙΡ. Α/Ο/Δ ΟΛΛ.,Φρέσκο Κρέας,Νωπό Χοιρινό,6,5.95,5.95,Kg,default_kalathi.png,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
27437551,2 ΜΠΟΥΤΙ ΧΟΙΡ. Α/Ο Α/Δ ΟΛΛ. ENA,Φρέσκο Κρέας,Νωπό Χοιρινό,6,5.95,5.95,Kg,default_kalathi.png,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
27025864,AB ΚΟΤΟΠΟΥΛΟ ΟΛΟΚΛΗΡΟ,Φρέσκο Κρέας,Νωπό Κοτόπουλο Ολόκληρο,7,2.99,2.99,Kg,7603950.jpg,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
29663514,ΓΑΛΟΠΟΥΛΑ ΒΡΑΣΤΗ TOSTAKI,Αλλαντικά,Γαλοπούλα,8,7.65,7.65,Kg,7141275.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
29663576,ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ TOSTAKI,Αλλαντικά,Γαλοπούλα,8,7.65,7.65,Kg,7141282.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
5202336129676,365 ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ ΦΕΤΕΣ 300G,Αλλαντικά,Γαλοπούλα,8,2.4,8.0,Kg,7610915.jpg,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
29125692,ΑΒ ΜΠΑΚΑΛΙΑΡΟΣ 300/500Γ Α/Κ ΕΙΣΑΓΩΓΗΣ,Κατεψυγμένα,Ψάρια Κατεψυγμένα,9,4.35,4.35,Kg,7072811.jpg,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
5202178001116,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠΟΣ  ΠΛΗΡΕΣ 1LT,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Φρέσκο Πλήρες,10,1.49,1.49,lt,7076755.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
5202336155736,AB ΦΡΕΣΚΟ ΓΑΛΑ ΠΛΗΡΕΣ 1LT,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Φρέσκο Πλήρες,10,1.0,1.0,lt,default_kalathi.png,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
5202178001178,ΕΠΙΛΕΓΜΕΝΟ Φ.ΓΑΛΑ ΟΛΥΜΠ.ΕΛ.1.7% 1L,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),11,1.49,1.49,lt,7076872.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
5202336155712,AB ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),11,1.0,1.0,lt,default_kalathi.png,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
5202336127627,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 7.8% ΠΛΗΡΕΣ 170G,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Εβαπορέ,12,0.48,2.82,lt,7579709.jpg,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
5202336127641,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 4% LIGHT 170G,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Εβαπορέ,12,0.48,2.82,lt,7579741.jpg,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
8716200615020,ΝΟΥΝΟΥ ΕΒΑΠΟΡΕ 400GR,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Εβαπορέ,12,1.01,2.53,lt,7133978.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
8716200615129,NOYNOY LIGHT 400GR,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Εβαπορέ,12,1.01,2.53,lt,7133977.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
5201054002087,TOTAL ΓΙΑΟΥΡΤΙ 5% 1KG,"Γιαούρτια, Κρέμες γάλακτος & Επιδόρπια ψυγείου",Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,13,3.9,3.9,kg,7078618.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
5202336035694,AB ΑΓΕΛΑΔΟΣ 3.9% ΓΙΑΟΥΡΤΙ 3Χ200ΓΡ,"Γιαούρτια, Κρέμες γάλακτος & Επιδόρπια ψυγείου",Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,13,1.3,2.17,kg,7080174.jpg,,ab,ΑΒ Βασιλόπουλος,1,2024-07-24,2024-07-30
5201054002094,TOTAL 2% 1KG,"Γιαούρτια, Κρέμες γάλακτος & Επιδόρπια ψυγείου",Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),14,3.9,3.9,kg,7079032.jpg,,ab,ΑΒ Βασιλόπουλος,0,2024-07-24,2024-07-30
